Year,Season,Week,Effort.days,Catch.kg,Mbw.g
2007,6,41,123,992,764.2
2007,6,42,110,750,766.1
2007,6,43,98,776,766.1
2007,6,44,49,350,767.4
2007,6,45,106,870,764.6
2007,6,46,125,1230,766.3
2007,6,47,60,552,768.1
2007,6,48,73,739,770.4
2007,6,49,73,609,766.3
2007,6,50,64,544,763
2007,6,51,86,805,765.7
2007,6,52,83,712,764.4
2007,6,53,6,25,763.5
2008,6,0,65,749,769.2
2008,6,1,111,1561,770.5
2008,6,2,85,1074,770.6
2008,6,3,92,1213,771.1
2008,6,4,69,1079,773.9
2008,6,5,108,2028,773.8
2008,6,6,72,1419,780.1
2008,6,7,80,1635,779.1
2008,6,8,74,1289,778.3
2008,6,9,112,1575,783.3
2008,6,10,105,1366,782.6
2008,6,11,50,612,784.4
2008,6,12,82,1003,783.2
2008,6,13,56,698,786
2008,6,14,90,696,785.7
2008,6,15,52,523,786.7
2008,6,16,48,373,793.1
2008,6,17,43,429,792.7
2008,6,18,41,372,795.3
2008,6,19,15,214,787.9
2008,6,20,1,15,788.5
2008,7,32,1,196,766.7
2008,7,33,1,236,772.7
2008,7,39,84,742,770
2008,7,40,159,1821,767.4
2008,7,41,99,1123,769.1
2008,7,42,107,1513,766.5
2008,7,43,67,925,767.2
2008,7,44,105,1703,764.8
2008,7,45,85,916,766.9
2008,7,46,70,961,768.6
2008,7,47,97,1216,764.4
2008,7,48,102,1247,769.3
2008,7,49,101,1443,768.8
2008,7,50,73,1011,765.9
2008,7,51,100,1456,767.2
2008,7,52,12,234,769.1
2009,7,0,20,309,763.7
2009,7,1,95,2133,765.6
2009,7,2,91,2073,764.9
2009,7,3,75,1608,771.3
2009,7,4,75,1656,774
2009,7,5,77,1824,775.1
2009,7,6,82,1629,775.9
2009,7,7,73,1368,779.7
2009,7,8,46,764,783
2009,7,9,69,1452,780.4
2009,7,10,74,1235,781
2009,7,11,51,648,786.2
2009,7,12,71,1014,782.2
2009,7,13,58,802,789.7
2009,7,14,46,595,786.3
2009,7,15,47,511,784.3
2009,7,16,30,313,785.1
2009,7,17,19,208,790.7
2009,7,18,24,233,792.4
2009,7,19,14,151,792.9
2009,8,35,1,12,769.2
2009,8,36,2,34,768.2
2009,8,37,2,17,768.4
2009,8,39,50,1891,768.5
2009,8,40,100,964,768.4
2009,8,41,91,1039,763.4
2009,8,42,103,1276,768
2009,8,43,85,1222,767.3
2009,8,44,87,1145,763.8
2009,8,45,248,5508,763.2
2009,8,46,88,1495,764.6
2009,8,47,89,1239,765.1
2009,8,48,88,1400,771
2009,8,49,89,1439,769.6
2009,8,50,98,1584,767.5
2009,8,51,99,1675,763.8
2009,8,52,54,919,771.6
2010,8,0,52,667,765.5
2010,8,1,95,1678,761.8
2010,8,2,51,1073,770.7
2010,8,3,52,1093,770.6
2010,8,4,70,1616,773.4
2010,8,5,55,707,774.5
2010,8,6,42,920,776.1
2010,8,7,24,580,780.9
2010,8,8,11,253,779.4
2010,8,9,20,174,783.1
2010,8,10,16,91,782.2
2010,8,11,35,843,784
2010,8,12,28,679,786.1
2010,8,13,19,326,788.7
2010,8,14,20,324,785.5
2010,8,15,13,227,786.8
2010,8,16,20,325,791.5
2010,8,17,17,253,791.4
2010,8,18,16,275,785.3
2010,8,19,20,380,788.6
2010,8,20,1,41,785.6
2010,9,35,7,87,765.699256394787
2010,9,36,29,568,771.6
2010,9,37,37,1498,765.7
2010,9,38,60,4867,767.3
2010,9,39,52,2850,768.1
2010,9,40,72,3008,770.6
2010,9,41,40,2047,764.3
2010,9,42,70,3150,768.0
2010,9,43,51,1949,765.4
2010,9,44,47,2213,769.1
2010,9,45,45,804,769.7
2010,9,46,47,1328,767.0
2010,9,47,54,3838,765.5
2010,9,48,45,1787,762.2
2010,9,49,42,1881,762.0
2010,9,50,42,1457,770.6
2010,9,51,62,2683,768.5
2010,9,52,38,1688,766.8
2011,9,0,8,642,767.1
2011,9,1,44,1747,771.7
2011,9,2,62,2449,768.7
2011,9,3,57,2184,774.8
2011,9,4,48,2035,771.8
2011,9,5,40,1322,777.3
2011,9,6,43,1746,778.7
2011,9,7,41,1816,777.6
2011,9,8,39,1797,779.2
2011,9,9,42,1659,780.7
2011,9,10,33,1514,781.1
2011,9,11,23,997,785.3
2011,9,12,23,894,784.4
2011,9,13,18,673,788.0
2011,9,14,23,821,787.1
2011,9,15,32,870,783.7
2011,9,16,41,1091,790.0
2011,9,17,38,787,783.3
2011,9,18,10,185,793.5
2011,9,19,29,517,787.1
2011,9,20,1,7,788.4
2011,9,21,3,68,790.1
2011,10,39,108,370,767
2011,10,40,270,4222,767.6
2011,10,41,158,3087,766.8
2011,10,42,178,2913,769.1
2011,10,43,134,3757,768.7
2011,10,44,146,3987,766.6
2011,10,45,122,2930,766.9
2011,10,46,147,3657,764.6
2011,10,47,104,2684,765.3
2011,10,48,126,2426,767
2011,10,49,115,2593,763.6
2011,10,50,107,2478,761
2011,10,51,82,2207,767.4
2011,10,52,105,3320,759.3
2012,10,0,1,26,761.4
2012,10,1,101,3684,762
2012,10,2,96,2881,768.8
2012,10,3,145,2967,770
2012,10,4,106,3155,770
2012,10,5,87,2602,774.9
2012,10,6,113,2930,777.7
2012,10,7,79,1960,778.3
2012,10,8,97,2022,781.8
2012,10,9,92,2039,784.3
2012,10,10,91,1741,781.4
2012,10,11,66,1064,784.4
2012,10,12,43,744,785.8
2012,10,13,53,955,787.8
2012,10,14,55,1116,788.8
2012,10,15,101,1546,786.6
2012,10,16,99,1442,787.9
2012,10,17,67,858,789.6
2012,10,18,70,702,786
2012,10,19,83,786,790.6
2012,10,20,22,181,785.1
2012,11,40,81,552,767.2
2012,11,41,145,2482,771
2012,11,42,142,2139,768.9
2012,11,43,126,2306,764.7
2012,11,44,133,2089,769.2
2012,11,45,114,1969,763.9
2012,11,46,126,2003,765
2012,11,47,75,1205,763.5
2012,11,48,103,1229,768
2012,11,49,93,992,767.4
2012,11,50,100,1163,766.4
2012,11,51,63,699,769.2
2012,11,52,67,977,766
2012,11,53,15,268,768.1
2013,11,0,96,1495,766.4
2013,11,1,119,1730,762.9
2013,11,2,107,1689,764.5
2013,11,3,104,1532,768.2
2013,11,4,126,2083,775.2
2013,11,5,94,1557,772.2
2013,11,6,90,1487,777.3
2013,11,7,81,1204,781.2
2013,11,8,51,738,780.8
2013,11,9,109,1500,783.7
2013,11,10,104,1623,785.4
2013,11,11,114,1795,786.3
2013,11,12,55,755,786.1
2013,11,13,77,982,788.8
2013,11,14,83,841,787.9
2013,11,15,66,867,788.7
2013,11,16,65,593,794.3
2013,11,17,51,469,786.3
2013,11,18,62,585,787.1
2013,11,19,11,113,792.1
2013,12,29,1,42,775
2013,12,39,78,937,771
2013,12,40,132,1713,764
2013,12,41,113,1628,768.2
2013,12,42,128,1893,769.1
2013,12,43,132,2173,765.4
2013,12,44,116,1761,769.1
2013,12,45,90,1089,766.2
2013,12,46,102,1678,765
2013,12,47,130,1445,766.9
2013,12,48,98,1345,761.3
2013,12,49,72,903,768.7
2013,12,50,112,1424,764
2013,12,51,58,687,762.9
2013,12,52,20,322,763.2
2014,12,0,16,172,766.1
2014,12,1,73,1119,765.8
2014,12,2,42,636,769.8
2014,12,3,67,1057,769.6
2014,12,4,56,1134,776.8
2014,12,5,82,1453,773.6
2014,12,6,47,1106,777.9
2014,12,7,49,1121,778.9
2014,12,8,39,760,779.9
2014,12,9,45,823,781.3
2014,12,10,43,721,786.6
2014,12,11,26,397,783.3
2014,12,12,44,571,786.7
2014,12,13,69,1024,786.2
2014,12,14,30,380,791.2
2014,12,15,43,527,790.5
2014,12,16,59,679,789.8
2014,12,17,54,584,787.3
2014,12,18,34,345,793.5
2014,12,19,14,214,790
2014,13,39,62,496,763.6
2014,13,40,184,2594,769
2014,13,41,229,3319,764.8
2014,13,42,253,4225,766.9
2014,13,43,159,2406,766.2
2014,13,44,228,3106,764.8
2014,13,45,190,2973,768.3
2014,13,46,221,3170,761.3
2014,13,47,178,2968,766.2
2014,13,48,167,2270,765.3
2014,13,49,142,2774,763.8
2014,13,50,127,1321,761.4
2014,13,51,119,1282,761.6
2014,13,52,70,980,764
2015,13,1,0,0,764
2015,13,2,0,0,764
2015,13,3,0,0,764
2015,13,4,13,352,773.3
2015,13,5,122,2861,775.8
2015,13,6,114,2420,777.2
2015,13,7,89,1664,779.6
2015,13,8,108,2468,781.9
2015,13,9,119,1872,780.1
2015,13,10,83,1237,784.3
2015,13,11,109,1559,785.7
2015,13,12,100,1748,784.8
2015,13,13,89,971,785.4
2015,13,14,76,775,787.5
2015,13,15,70,766,785.1
2015,13,16,69,663,786.9
2015,13,17,54,377,788.5
2015,13,18,46,287,790.6
2015,13,19,46,278,792.7
2015,14,39,35,259,765.2
2015,14,40,184,1980,769.9
2015,14,41,150,1846,766.3
2015,14,42,175,1622,766.4
2015,14,43,117,1525,765.9
2015,14,44,177,2085,764
2015,14,45,108,1234,766.6
2015,14,46,138,1255,766.7
2015,14,47,117,1269,768.1
2015,14,48,102,858,766.4
2015,14,49,127,1209,767.6
2015,14,50,144,1550,769.7
2015,14,51,108,1146,766
2015,14,52,56,754,766.9
2016,14,0,47,553,761.8
2016,14,1,118,1528,769.1
2016,14,2,139,2085,768.2
2016,14,3,115,1715,769.4
2016,14,4,114,1440,771.7
2016,14,5,97,1436,774.6
2016,14,6,115,1970,777.6
2016,14,7,106,1507,778
2016,14,8,114,1723,782.2
2016,14,9,107,1789,779.3
2016,14,10,131,2124,783.7
2016,14,11,77,1263,781.9
2016,14,12,96,1573,784.8
2016,14,13,76,1016,782.1
2016,14,14,59,786,789.9
2016,14,15,79,929,786.3
2016,14,16,65,621,790.3
2016,14,17,66,588,785.1
2016,14,18,57,328,785.9
2016,14,19,47,298,786.6
2016,15,39,2,4,767
2016,15,40,95,874,768.2
2016,15,41,84,760,769.1
2016,15,42,122,837,766.6
2016,15,43,102,1037,766.7
2016,15,44,119,921,765.9
2016,15,45,94,926,766.9
2016,15,46,43,440,766.2
2016,15,47,115,977,762.1
2016,15,48,87,641,765.8
2016,15,49,121,1111,765.6
2016,15,50,107,836,763
2016,15,51,131,1077,765.6
2016,15,52,93,1254,763.6
2017,15,0,3,25,765.6
2017,15,1,122,1804,766.8
2017,15,2,117,1291,769.1
2017,15,3,118,1221,771.4
2017,15,4,99,1335,777.3
2017,15,5,120,1777,777.9
2017,15,6,140,1974,775.8
2017,15,7,125,1385,779.8
2017,15,8,179,1227,782.6
2017,15,9,148,1731,782.2
2017,15,10,98,1110,783.1
2017,15,11,84,940,787.1
2017,15,12,141,1142,785.1
2017,15,13,101,988,787
2017,15,14,84,782,783.8
2017,15,15,73,625,785.9
2017,15,16,74,460,789.9
2017,15,17,82,504,791.8
2017,15,18,42,271,789.3
2017,15,19,29,144,788.7
2017,15,20,1,8,790.4
2017,16,40,62,451,768.7
2017,16,41,15,110,764.1
2017,16,42,154,1737,765.4
2017,16,43,186,1024,767.4
2017,16,44,161,990,764.6
2017,16,45,151,1233,766.7
2017,16,46,91,1201,765.3
2017,16,47,64,741,761.4
2017,16,48,191,1509,765.2
2017,16,49,70,833,760.3
2017,16,50,124,1125,766.8
2017,16,51,77,568,765
2017,16,52,111,1422,769.3
2018,16,1,113,701,771.8
2018,16,2,77,567,767.8
2018,16,3,81,440,774.3
2018,16,4,97,994,774
2018,16,5,60,553,776
2018,16,6,59,675,775.8
2018,16,7,76,829,780.1
2018,16,8,83,1062,778.4
2018,16,9,104,1148,782.8
2018,16,10,75,820,785.1
2018,16,11,66,900,781.9
2018,16,12,62,719,787.8
2018,16,13,104,750,781.9
2018,16,14,67,698,784.2
2018,16,15,75,781,785.8
2018,16,16,65,546,789
2018,16,17,66,501,788.7
2018,16,18,48,390,790.9
2018,16,19,41,295,791.3
2018,16,20,29,224,786.8
2018,17,40,62,545,770.2
2018,17,41,98,884,764.3
2018,17,42,146,1463,765.6
2018,17,43,155,1531,767.9
2018,17,44,68,371,766.8
2018,17,45,99,771,763.9
2018,17,46,150,1059,768.6
2018,17,47,81,654,763
2018,17,48,51,650,766.8
2018,17,49,120,1005,765.9
2018,17,50,136,1072,768.8
2018,17,51,97,744,767.5
2018,17,52,122,1344,764.9
2018,17,53,15,139,756.5
2019,17,0,9,106,764.5
2019,17,1,110,1457,764.6
2019,17,2,84,1198,766.7
2019,17,3,101,2394,774.8
2019,17,4,80,1507,773.7
2019,17,5,42,911,777.4
2019,17,6,71,1465,778.5
2019,17,7,125,1920,775.6
2019,17,8,39,717,779.7
2019,17,9,30,304,779.1
2019,17,10,50,542,781.8
2019,17,11,169,1922,780.4
2019,17,12,46,796,785.5
2019,17,13,87,708,787.4
2019,17,14,22,838,788.3
2019,17,15,69,1058,791.3
2019,17,16,18,377,785.9
2019,17,17,56,2394,785.2
2019,17,18,17,372,787.3
2019,17,19,43,700,789.2
2019,18,39,35,876,765
2019,18,40,61,488,769.8
2019,18,41,63,485,766.1
2019,18,42,45,302,768
2019,18,43,31,285,764.6
2019,18,44,44,413,768.3
2019,18,45,49,436,766.1
2019,18,46,47,251,768.4
2019,18,47,45,506,765.9
2019,18,48,4,21,762.8
2019,18,49,88,433,769.9
2019,18,50,52,371,763.9
2019,18,51,53,672,766.2
2019,18,52,3,40,763.2
2020,18,0,15,345,768.8
2020,18,1,49,1010,767.3
2020,18,2,16,519,772.6
2020,18,3,20,487,772.4
2020,18,4,74,1249,773.5
2020,18,5,33,1007,777.1
2020,18,6,59,786,776.4
2020,18,7,25,490,780.8
2020,18,8,45,2029,782.3
2020,18,9,89,1513,782.4
2020,18,10,24,575,781.6
2020,18,11,23,231,785.1
2020,18,12,69,1290,785.9
2020,18,13,2,46,789.7
2020,18,15,6,122,790.2
2020,18,16,83,1853,784.8
2020,18,17,3,813,788.2
2020,18,18,54,1514,786.8
2020,18,19,27,487,789
2020,18,20,6,209,791.3
2020,18,23,1,1,791.2
2020,19,39,5,15,768.5
2020,19,40,41,281,765
2020,19,41,74,969,769.3
2020,19,42,59,1036,766.3
2020,19,43,56,684,763.9
2020,19,44,46,726,768
2020,19,45,58,1558,766.1
2020,19,46,159,5978,763.8
2020,19,47,48,822,770.1
2020,19,48,52,1108,767.1
2020,19,49,86,1065,766.4
2020,19,50,39,712,768
2020,19,51,43,665,771.4
2020,19,52,49,418,765.6
2021,19,0,3,42,757.9
2021,19,1,61,945,767.1
2021,19,2,38,1172,767.5
2021,19,3,44,778,770.7
2021,19,4,53,1574,774.3
2021,19,5,46,1320,773.3
2021,19,6,98,4251,775.9
2021,19,7,57,1971,777.9
2021,19,8,43,798,779.4
2021,19,9,58,1320,781.5
2021,19,10,92,3492,779.5
2021,19,11,69,1175,780.9
2021,19,12,67,1817,787.8
2021,19,13,61,1243,783.9
2021,19,14,65,907,790.1
2021,19,15,39,946,786.1
2021,19,16,13,131,786.5
2021,19,17,39,1839,784.6
2021,19,18,21,595,787.2
2021,19,19,56,907,790.4
2021,19,21,1,8,784.4
2021,20,40,19,247,768.2
2021,20,41,27,591,768
2021,20,42,27,469,764.2
2021,20,43,43,1046,765.4
2021,20,44,49,978,765.7
2021,20,45,51,721,764.7
2021,20,46,23,569,765.6
2021,20,47,32,1273,766
2021,20,48,39,502,767.8
2021,20,49,39,465,765.4
2021,20,50,28,464,769.3
2021,20,51,15,213,766.1
2021,20,52,33,770,764.6
2022,20,0,10,122,762.9
2022,20,1,89,1931,766.5
2022,20,2,40,1767,764
2022,20,3,42,1441,771.2
2022,20,4,63,1013,772.9
2022,20,5,61,1734,773.6
2022,20,6,23,729,774.4
2022,20,7,53,1484,775.2
2022,20,8,72,2472,779.5
2022,20,9,39,819,780.6
2022,20,10,34,875,781.7
2022,20,11,33,720,785.8
2022,20,12,33,454,784.8
2022,20,13,23,1314,786
2022,20,14,23,705,786.5
2022,20,15,25,931,785.2
2022,20,16,36,610,790.9
2022,20,17,7,111,788
2022,20,18,28,141,783.6
2022,20,19,45,1315,785.1
2022,20,22,23,591,793.4
2022,21,40,19,152,770.4
2022,21,41,15,140,767.7
2022,21,42,52,833,764.4
2022,21,43,39,968,764
2022,21,44,11,269,763.8
2022,21,45,34,506,764.7
2022,21,46,38,1055,767.5
2022,21,47,23,301,762.9
2022,21,48,29,1380,763.1
2022,21,49,17,537,763.3
2022,21,50,29,544,761
2022,21,51,32,756,762.5
2022,21,52,7,191,761.7
2023,21,1,14,270,765.6
2023,21,2,29,1786,768.6
2023,21,3,28,1337,770.2
2023,21,4,31,1279,771.9
2023,21,5,1,33,771.8
2023,21,6,24,735,774.1
2023,21,7,10,284,778.7
2023,21,8,31,1765,780.1
2023,21,9,9,372,780.9
2023,21,10,18,1166,783.3
2023,21,11,20,712,784.2
2023,21,12,16,294,781.8
2023,21,13,31,884,784.4
2023,21,14,2,114,788.2
2023,21,15,14,265,786.9
2023,21,16,3,56,789.2
2023,21,17,16,507,793.3
2023,21,18,6,134,792.4
2023,21,19,43,1447,785.7
